Descricao do Procedimento;Descricao do CID;
GRAU DE RISCO BAIXO;Baixa energia;
GRAU DE RISCO BAIXO;Olhos lacrimejantes;
GRAU DE RISCO BAIXO;Congestão nasal;
GRAU DE RISCO BAIXO;Tosse seca;
GRAU DE RISCO BAIXO;Dor de cabeça leve;
GRAU DE RISCO BAIXO;Náusea;
GRAU DE RISCO BAIXO;Dor de estômago leve;
GRAU DE RISCO BAIXO;Dificuldade em dormir;
GRAU DE RISCO BAIXO;Dor muscular leve;
GRAU DE RISCO BAIXO;Leve irritação na garganta;
GRAU DE RISCO BAIXO;Coceira na pele;
GRAU DE RISCO BAIXO;Inchaço leve nas mãos ou pés;
GRAU DE RISCO BAIXO;Pequenas manchas vermelhas na pele;
GRAU DE RISCO BAIXO;Sensação de tontura leve;
GRAU DE RISCO BAIXO;Leve desconforto abdominal;
GRAU DE RISCO BAIXO;Azia leve;
GRAU DE RISCO BAIXO;Dificuldade em concentrar-se;
GRAU DE RISCO BAIXO;Problemas de memória leve;
GRAU DE RISCO BAIXO;Visão turva temporária;
GRAU DE RISCO BAIXO;Sensação de formigamento nas extremidades;
GRAU DE RISCO BAIXO;Perda de apetite;
GRAU DE RISCO BAIXO;Leve dor de dente;
GRAU DE RISCO BAIXO;Inchaço nos olhos;
GRAU DE RISCO BAIXO;Perda de cabelo leve;
GRAU DE RISCO BAIXO;Prurido anal;
GRAU DE RISCO BAIXO;Flatulência;
GRAU DE RISCO BAIXO;Leve dor de ouvido;
GRAU DE RISCO BAIXO;Alterações na cor da urina;
GRAU DE RISCO BAIXO;Sensação de queimação na boca;
GRAU DE RISCO BAIXO;Dificuldade em deglutir;
GRAU DE RISCO BAIXO;Vontade frequente de urinar;
GRAU DE RISCO BAIXO;Leve dor de garganta;
GRAU DE RISCO BAIXO;Palidez;
GRAU DE RISCO BAIXO;Mudança no hábito intestinal;
GRAU DE RISCO BAIXO;Coriza leve;
GRAU DE RISCO BAIXO;Sensação de cabeça leve;
GRAU DE RISCO BAIXO;Corrimento vaginal;
GRAU DE RISCO BAIXO;Sensação de bola na garganta;
GRAU DE RISCO BAIXO;Pele seca;
GRAU DE RISCO BAIXO;Sudorese excessiva;
GRAU DE RISCO BAIXO;Coceira nos olhos;
GRAU DE RISCO BAIXO;Dor nas articulações leve;
GRAU DE RISCO BAIXO;Leve dor nas costas;
GRAU DE RISCO BAIXO;Inchaço das articulações;
GRAU DE RISCO BAIXO;Dor de garganta ao engolir;
GRAU DE RISCO BAIXO;Dor durante o sexo;
GRAU DE RISCO BAIXO;Leve dor no peito;
GRAU DE RISCO BAIXO;Dor durante a menstruação;
GRAU DE RISCO BAIXO;Dor ao urinar;
GRAU DE RISCO BAIXO;Dor lombar leve;
GRAU DE RISCO BAIXO;Dificuldade em urinar;
GRAU DE RISCO BAIXO;Mudanças na textura ou cor das fezes;
GRAU DE RISCO MODERADO;Tosse com falta de ar leve a moderada;
GRAU DE RISCO MODERADO;Febre baixa 37,5°C a 38°C;
GRAU DE RISCO MODERADO;Fadiga moderada;
GRAU DE RISCO MODERADO;Dor de cabeça moderada;
